,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance
Age,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Gender,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
High_School_GPA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
SAT_Score,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
University_Ranking,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
University_GPA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Field_of_Study,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
Internships_Completed,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Projects_Completed,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Certifications,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Soft_Skills_Score,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
Networking_Score,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
Starting_Salary,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Career_Satisfaction,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Years_to_Promotion,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Current_Job_Level,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0
Work_Life_Balance,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
